date,close,high,low,open,volume,ret
2017-02-28,1252.599976,1257.300049,1247.199951,1253.599976,721,-0.00381743908730836
2017-03-01,1248.900024,1248.900024,1236.900024,1247.800049,138,-0.00295381771586423
2017-03-02,1231.900024,1247.599976,1230.699951,1247.199951,79,-0.013611978279536
2017-03-03,1225.5,1235.199951,1222.900024,1231.699951,121,-0.00519524626618562
2017-03-06,1224.5,1235.199951,1224.5,1235.199951,29,-0.00081599347205219
2017-03-07,1215.099976,1225.400024,1213.699951,1224.300049,53,-0.00767662229481425
2017-03-08,1208.5,1212.199951,1206.699951,1212.199951,24,-0.00543163207173003
2017-03-09,1202.400024,1205.599976,1202.300049,1204.5,37,-0.00504755978485727
2017-03-10,1200.699951,1203.300049,1196.199951,1196.199951,3,-0.00141389967237726
2017-03-13,1202.400024,1210.0,1202.300049,1206.199951,35,0.0014159016152071
2017-03-14,1201.900024,1205.900024,1196.800049,1203.099976,22,-0.000415834988373276
2017-03-15,1200.099976,1221.199951,1197.699951,1198.199951,36,-0.00149766866133294
2017-03-16,1226.5,1231.400024,1222.199951,1222.199951,47,0.0219981872576922
2017-03-17,1229.800049,1230.900024,1227.099976,1227.099976,26,0.00269062291072153
2017-03-20,1233.599976,1234.400024,1229.300049,1229.300049,23,0.00308987384013348
2017-03-21,1246.099976,1246.099976,1226.400024,1226.400024,11,0.0101329444254139
2017-03-22,1249.300049,1249.5,1247.699951,1247.900024,3,0.00256807083029753
2017-03-23,1246.900024,1247.5,1244.800049,1246.400024,16,-0.00192109573830646
2017-03-24,1248.199951,1248.300049,1247.599976,1248.0,3,0.0010425270470602
2017-03-27,1255.400024,1257.699951,1253.800049,1255.800049,72,0.00576836507182321
2017-03-28,1255.300049,1255.900024,1255.300049,1255.900024,19,-7.96359710759642e-05
2017-03-29,1253.400024,1253.400024,1252.099976,1252.199951,190678,-0.00151360226705444
2017-03-30,1245.0,1253.599976,1241.099976,1253.099976,51328,-0.00670179020197625
2017-03-31,1247.300049,1248.800049,1238.699951,1242.099976,8223,0.0018474289156627
2017-04-03,1250.800049,1252.400024,1243.599976,1247.5,1160,0.00280606098172287
2017-04-04,1255.0,1260.300049,1253.0,1253.099976,724,0.0033578116689057
2017-04-05,1245.400024,1255.400024,1243.0,1255.400024,907,-0.00764938326693221
2017-04-06,1250.300049,1257.5,1249.0,1256.099976,169,0.00393449888033715
2017-04-07,1254.300049,1269.099976,1249.5,1249.5,445,0.00319923205889605
2017-04-10,1251.099976,1255.199951,1246.800049,1252.699951,182,-0.00255128189028719
2017-04-11,1271.199951,1273.5,1254.5,1254.5,401,0.0160658423671811
2017-04-12,1275.300049,1285.099976,1272.0,1275.0,492,0.00322537614698182
2017-04-13,1285.900024,1287.599976,1282.0,1285.300049,915,0.00831174985707239
2017-04-17,1289.400024,1294.800049,1284.300049,1291.800049,73,0.0027218290183344
2017-04-18,1291.699951,1291.699951,1278.599976,1283.900024,394,0.00178371875072969
2017-04-19,1281.400024,1288.0,1274.0,1288.0,194,-0.00797393155587423
2017-04-20,1281.900024,1281.900024,1276.199951,1279.699951,127,0.000390198213387816
2017-04-21,1287.400024,1287.400024,1279.199951,1279.800049,474,0.00429050619941318
2017-04-24,1275.800049,1276.400024,1265.0,1275.0,605,-0.00901038898846573
2017-04-25,1265.599976,1276.900024,1262.099976,1275.599976,356,-0.00799504045167188
2017-04-26,1262.099976,1266.0,1262.099976,1266.0,1156,-0.00276548677810662
2017-04-27,1263.699951,1267.199951,1262.199951,1266.699951,206,0.00126770860504322
2017-04-28,1266.099976,1267.199951,1264.699951,1265.900024,85,0.00189920478995087
2017-05-01,1253.300049,1269.300049,1253.300049,1268.699951,34,-0.0101097284911409
2017-05-02,1255.099976,1256.199951,1251.199951,1256.199951,90,0.00143615010741938
